EmployeeKey,ParentEmployeeKey,EmployeeNationalIDAlternateKey,ParentEmployeeNationalIDAlternateKey,FirstName,LastName,MiddleName,NameStyle,Title,HireDate,BirthDate,LoginID,EmailAddress,Phone,MaritalStatus,EmergencyContactName,EmergencyContactPhone,SalariedFlag,Gender,PayFrequency,BaseRate,VacationHours,SickLeaveHours,CurrentFlag,SalesPersonFlag,DepartmentName,Position
12,189,912265825,33237992,Barry,Johnson,K,False,Production Technician - WC10,7-Aug-07,25-Oct-55,AW\barry-johnson,barry-johnson@adventureworks.com,206-555-0180,S,Barry Johnson,206-555-0180,False,M,1,$13.45,88,64,True,False,Production,
17,189,132674823,33237992,Jeffrey,Ford,L,False,Production Technician - WC10,20-Sept-07,9-Feb-56,AW\jeffrey-ford,jeffrey-ford@adventureworks.com,984-555-0185,S,Jeffrey Ford,984-555-0185,False,M,1,$13.45,85,62,True,False,Production,
24,201,835460180,332349500,Stuart,Munson,V,False,Production Technician - WC45,2-Jul-08,13-Apr-62,AW\stuart-munson,stuart-munson@adventureworks.com,413-555-0136,S,Stuart Munson,413-555-0136,False,M,1,$10.,84,62,True,False,Production,
25,201,687685941,332349500,Greg,Alderson,F,False,Production Technician - WC45,2-Jul-08,15-Nov-75,AW\greg-alderson,greg-alderson@adventureworks.com,332-555-0150,S,Greg Alderson,332-555-0150,False,M,1,$10.,85,62,True,False,Production,
26,188,498138869,60114406,David,Johnson,N,False,Production Technician - WC30,2-Jul-08,2-Jun-79,SQLSERVER2017\LabUser,david-johnson@adventureworks.com,166-555-0162,S,David Johnson,166-555-0162,False,M,1,$9.5,25,32,True,False,Production,
29,89,384162788,750905084,Paul,Komosinski,B,False,Production Technician - WC40,4-Jul-08,13-Jun-80,AW\paul-komosinski,paul-komosinski@adventureworks.com,147-555-0160,S,Paul Komosinski,147-555-0160,False,M,1,$15.,68,54,True,False,Production,
33,214,761597760,634335025,Alejandro,McGuel,E,False,Production Technician - WC40,6-Jul-08,5-Jul-88,AW\alejandro-mcguel,alejandro-mcguel@adventureworks.com,668-555-0130,S,Alejandro McGuel,668-555-0130,False,M,1,$15.,52,46,True,False,Production,
34,188,271438431,60114406,Garrett,Young,R,False,Production Technician - WC30,7-Jul-08,25-Mar-84,AW\garrett-young,garrett-young@adventureworks.com,609-555-0179,S,Garrett Young,609-555-0179,False,M,1,$9.5,34,37,True,False,Production,
35,138,160739235,386315192,Jian Shuo,Wang,,False,Production Technician - WC30,7-Jul-08,24-Feb-83,AW\jian shuo-wang,jian shuo-wang@adventureworks.com,952-555-0178,S,Jian Shuo Wang,952-555-0178,False,M,1,$9.5,36,38,True,False,Production,
39,9,276751903,309738752,Simon,Rapier,D,False,Production Technician - WC60,8-Jul-08,15-Dec-89,AW\simon-rapier,simon-rapier@adventureworks.com,963-555-0134,S,Simon Rapier,963-555-0134,False,M,1,$12.45,38,39,True,False,Production,
41,186,545337468,862951447,Michael,Hines,T,False,Production Technician - WC20,9-Jul-08,15-Dec-89,AW\michael-hines,michael-hines@adventureworks.com,218-555-0126,S,Michael Hines,218-555-0126,False,M,1,$14.,20,30,True,False,Production,
47,214,295971920,634335025,Fred,Northup,T,False,Production Technician - WC40,12-Jul-08,23-Jan-89,AW\fred-northup,fred-northup@adventureworks.com,818-555-0192,S,Fred Northup,818-555-0192,False,M,1,$15.,47,43,True,False,Production,
50,40,857651804,630184120,Jun,Cao,T,False,Production Technician - WC50,14-Jul-08,3-Feb-79,AW\jun-cao,jun-cao@adventureworks.com,299-555-0113,S,Jun Cao,299-555-0113,False,M,1,$11.,90,65,True,False,Production,
54,126,275962311,712885347,Kirk,Koenigsbauer,J,False,Production Technician - WC45,15-Jul-08,6-Sept-84,AW\kirk-koenigsbauer,kirk-koenigsbauer@adventureworks.com,669-555-0150,S,Kirk Koenigsbauer,669-555-0150,False,M,1,$10.,74,57,True,False,Production,
57,147,568596888,319472946,Hanying,Feng,P,False,Production Technician - WC20,16-Jul-08,16-May-74,AW\hanying-feng,hanying-feng@adventureworks.com,319-555-0139,S,Hanying Feng,319-555-0139,False,M,1,$14.,15,27,True,False,Production,
58,214,918737118,634335025,Kevin,Liu,H,False,Production Technician - WC40,17-Jul-08,25-Jul-85,AW\kevin-liu,kevin-liu@adventureworks.com,714-555-0138,S,Kevin Liu,714-555-0138,False,M,1,$15.,58,49,True,False,Production,
60,40,415823523,630184120,Suroor,Fatima,R,False,Production Technician - WC50,17-Jul-08,25-Sept-77,AW\suroor-fatima,suroor-fatima@adventureworks.com,932-555-0161,S,Suroor Fatima,932-555-0161,False,M,1,$11.,93,66,True,False,Production,
65,89,502058701,750905084,Gary,Yukish,W,False,Production Technician - WC40,22-Jul-08,15-Dec-87,AW\gary-yukish,gary-yukish@adventureworks.com,901-555-0125,S,Gary Yukish,901-555-0125,False,M,1,$15.,69,54,True,False,Production,
69,16,843479922,233069302,Bob,Hohman,N,False,Production Technician - WC50,24-Jul-08,16-Mar-79,AW\bob-hohman,bob-hohman@adventureworks.com,611-555-0116,S,Bob Hohman,611-555-0116,False,M,1,$11.,12,26,True,False,Production,
80,186,368920189,862951447,Nitin,Mirchandani,S,False,Production Technician - WC20,28-Jul-08,1-Jul-86,AW\nitin-mirchandani,nitin-mirchandani@adventureworks.com,143-555-0173,S,Nitin Mirchandani,143-555-0173,False,M,1,$14.,21,30,True,False,Production,
85,40,981597097,630184120,John,Evans,P,False,Production Technician - WC50,1-Aug-08,29-Dec-77,AW\john-evans,john-evans@adventureworks.com,172-555-0130,S,John Evans,172-555-0130,False,M,1,$11.,91,65,True,False,Production,
88,188,746373306,60114406,David,Yalovsky,A,False,Production Technician - WC30,2-Aug-08,3-Mar-81,SQLSERVER2017\LabUser,david-yalovsky@adventureworks.com,373-555-0142,S,David Yalovsky,373-555-0142,False,M,1,$9.5,32,36,True,False,Production,
94,147,212801092,319472946,Fadi,Fakhouri,K,False,Production Technician - WC20,4-Aug-08,15-Sept-88,AW\fadi-fakhouri,fadi-fakhouri@adventureworks.com,935-555-0116,S,Fadi Fakhouri,935-555-0116,False,M,1,$14.,16,28,True,False,Production,
97,76,431859843,778552911,Nuan,Yu,,False,Production Technician - WC50,6-Aug-08,27-Oct-78,AW\nuan-yu,nuan-yu@adventureworks.com,913-555-0184,S,Nuan Yu,913-555-0184,False,M,1,$11.,2,21,True,False,Production,
100,177,420023788,578935259,Bjorn,Rettig,M,False,Production Technician - WC30,7-Aug-08,6-Jun-89,AW\bjorn-rettig,bjorn-rettig@adventureworks.com,199-555-0117,S,Bjorn Rettig,199-555-0117,False,M,1,$9.5,43,41,True,False,Production,
102,89,830150469,750905084,Michael,Rothkugel,L,False,Production Technician - WC40,10-Aug-08,4-Aug-90,AW\michael-rothkugel,michael-rothkugel@adventureworks.com,454-555-0119,S,Michael Rothkugel,454-555-0119,False,M,1,$15.,70,55,True,False,Production,
